iter,vocab_size,density,avg_pairwise_dist,avg_disc,num_rules
0,100,0.6310675883554299,0.59860689436305,4.159190459411488e-05,199362
1,99,0.6313484281133601,0.5982536673090695,4.2060052923233464e-05,199360
2,98,0.6317532699509241,0.597740051847646,4.2552157478708766e-05,199330
3,97,0.6333004604609518,0.5957620388044454,4.3588248924128634e-05,190822
4,96,0.6073866745930765,0.6277332695306146,4.398983506374276e-05,76259
5,95,0.6088690254081431,0.6259073435637734,4.516839073983884e-05,75473
6,94,0.6104351823773249,0.6240081994443758,4.5935328742831324e-05,74640
7,93,0.6118519376498175,0.62227838772854,4.6685794775179674e-05,73888
8,92,0.592173437172269,0.6457993809885982,4.880431499929247e-05,44176
9,91,0.5938631755049649,0.6438136778286857,4.957901079466049e-05,43966
10,90,0.5803117375009654,0.6596372940520939,5.416218474810281e-05,21721
